sample.id,Tank,Experiment,Day,Year,ExpYear,sample_date,SampleEvent,treatment_cellsperml,observed_treatment_cellperml,Species,total_density,relative_inoculant_density_percent,d__Eukaryota.p__Euglenozoa.c__Euglenida.o__Euglenophyceae.f__Euglenaceae.g__Trachelomonas.s__Trachelomonas_sp.,d__Eukaryota.p__Ochrophyta.c__Chrysophyceae.o__Synurales.f__Synurales.g__Synura.__,d__Eukaryota.p__Ochrophyta.c__Chrysophyceae.o__Synurales.f__Synurales.g__Mallomonas.s__Mallomonas_caudata,d__Eukaryota.p__Chlorophyta.c__Chlorophyceae.o__Chlorophyceae.f__Chlorophyceae.g__Chlorophyceae.s__Haematococcus_lacustris,d__Eukaryota.p__Euglenozoa.c__Euglenida.o__Euglenophyceae.f__Euglenaceae.g__Trachelomonas.__
D14MTP18Exp12022,18,1,14,2022,12022,6/15/2022,Week2,1,8.478882236,Chrysosphaerella sp.,2490.629765,0.340431258,5,7,0,0,6
D14MTP18Exp22021,18,2,14,2021,22021,8/9/2021,Week2,100,0,Trachelomonas abrupta,42597.19777,0,0,0,0,0,0
D14MTP18Exp32022,18,3,14,2022,32022,10/3/2022,Week2,0,0,Chrysosphaerella sp.,11619.31059,0,0,1,0,0,0
D14MTP19Exp12021,19,1,14,2021,12021,6/28/2021,Week2,30,2.240464135,Haematococcus pluvialis,2043.303291,0.109649123,0,0,0,0,0
D14MTP19Exp12022,19,1,14,2022,12022,6/15/2022,Week2,10,4.334612245,Chrysosphaerella sp.,3592.411039,0.120660253,3,4,1,0,2
D14MTP19Exp22021,19,2,14,2021,22021,8/9/2021,Week2,30,0,Trachelomonas abrupta,26051.69687,0,0,0,0,0,0
D14MTP19Exp32022,19,3,14,2022,32022,10/3/2022,Week2,30,0,Chrysosphaerella sp.,24343.145,0,2,0,0,0,0
D14MTP1Exp12021,1,1,14,2021,12021,6/28/2021,Week2,30,0,Haematococcus pluvialis,2754.277243,0,0,0,0,2,0
D14MTP1Exp12022,1,1,14,2022,12022,6/15/2022,Week2,100,30.03579798,Chrysosphaerella sp.,10726.99839,0.280001888,0,4,0,0,1
D14MTP1Exp22021,1,2,14,2021,22021,8/9/2021,Week2,30,0,Trachelomonas abrupta,2573.915381,0,2,0,0,0,0
D14MTP1Exp32022,1,3,14,2022,32022,10/3/2022,Week2,0,0,Chrysosphaerella sp.,10210.67656,0,0,0,0,0,0
D14MTP20Exp12021,20,1,14,2021,12021,6/28/2021,Week2,0,5.949467787,Haematococcus pluvialis,7585.571428,0.078431373,0,0,0,0,0
D14MTP20Exp12022,20,1,14,2022,12022,6/15/2022,Week2,30,0,Chrysosphaerella sp.,1488.757009,0,0,0,4,1,0
D14MTP20Exp22021,20,2,14,2021,22021,8/9/2021,Week2,0,0,Trachelomonas abrupta,19124.16996,0,0,0,0,0,0
D14MTP20Exp32022,20,3,14,2022,32022,10/10/2022,Week2,1,0,Chrysosphaerella sp.,9200.888963,0,0,5,0,0,0
D14MTP21Exp12021,21,1,14,2021,12021,6/28/2021,Week2,100,0,Haematococcus pluvialis,1587.785997,0,0,0,0,0,0
D14MTP21Exp12022,21,1,14,2022,12022,6/15/2022,Week2,0,4.31699187,Chrysosphaerella sp.,4368.813109,0.098813837,1,17,1,0,6
