Tank,sample-id,Experiment,Day,Year,ExpYear,sample_date,SampleEvent,treatment_cellsperml,observed_treatment_cellperml,Species,total_density,relative_inoculant_density_percent,TempC,Cond_mS.cm,Salinity_PSU,pH,Turbidity_FNU,DO_mg.L,TChlor_ug.L
4,D22MTP4Exp22021,2,22,2021,22021,8/16/2021,Week3,10,0,Trachelomonas abrupta,17065.30467,0,22.813,182.7,0.09,8.31,1.29,8.41,3.08
4,D28MTP4Exp22021,2,28,2021,22021,8/23/2021,Week4,10,0,Trachelomonas abrupta,7231.782834,0,22.857,184.6,0.09,8.23,1.22,8.27,3.56
5,D0MTP5Exp22021,2,0,2021,22021,7/26/2021,Day0,1,0,Trachelomonas abrupta,5611.449876,0,22.285,179.9,0.08,7.88,5.5,8.41,13.86
5,D7MTP5Exp22021,2,7,2021,22021,8/2/2021,Week1,1,8.66922449,Trachelomonas abrupta,12795.77535,0.067750678,22.91,179.5,0.08,8.15,3.5,8.33,16.45
5,D14MTP5Exp22021,2,14,2021,22021,8/9/2021,Week2,1,0,Trachelomonas abrupta,11152.99328,0,23.247,181.4,0.09,8.12,1.2,8.22,2.53
5,D22MTP5Exp22021,2,22,2021,22021,8/16/2021,Week3,1,0,Trachelomonas abrupta,1820.327597,0,22.916,181.2,0.08,8.36,0.44,8.37,2.4
5,D28MTP5Exp22021,2,28,2021,22021,8/23/2021,Week4,1,0,Trachelomonas abrupta,708.9551847,0,22.877,185.9,0.09,8.23,0.39,8.23,2.15
7,D0MTP7Exp22021,2,0,2021,22021,7/26/2021,Day0,0,0,Trachelomonas abrupta,4431.163608,0,22.273,176.8,0.08,7.88,5.37,8.41,14.27
7,D7MTP7Exp22021,2,7,2021,22021,8/2/2021,Week1,0,16.79019763,Trachelomonas abrupta,8420.284111,0.199401795,22.913,182.7,0.09,8.16,2.82,8.3,17.07
7,D14MTP7Exp22021,2,14,2021,22021,8/9/2021,Week2,0,0,Trachelomonas abrupta,20735.46942,0,23.245,181.8,0.09,8.07,1.66,8.17,8.3
7,D22MTP7Exp22021,2,22,2021,22021,8/16/2021,Week3,0,4.282177419,Trachelomonas abrupta,11887.32452,0.036023055,22.793,180,0.08,8.27,1.31,8.33,10.8
7,D28MTP7Exp22021,2,28,2021,22021,8/23/2021,Week4,0,0,Trachelomonas abrupta,7202.994783,0,22.76,183.9,0.09,8.23,1.19,8.28,6.47
8,D0MTP8Exp22021,2,0,2021,22021,7/26/2021,Day0,30,35.25244813,Trachelomonas abrupta,4106.910208,0.858369099,22.228,186.6,0.09,7.84,5.56,8.44,16.11
8,D7MTP8Exp22021,2,7,2021,22021,8/2/2021,Week1,30,69.07186992,Trachelomonas abrupta,14530.99463,0.475341652,22.834,180,0.08,8.07,3.02,8.3,23.2
8,D14MTP8Exp22021,2,14,2021,22021,8/9/2021,Week2,30,0,Trachelomonas abrupta,55018.56217,0,23.142,181.1,0.08,8.11,2.13,8.26,35.47
8,D22MTP8Exp22021,2,22,2021,22021,8/16/2021,Week3,30,0,Trachelomonas abrupta,10964.09489,0,22.473,184.5,0.09,8.26,2.42,8.4,35.29
8,D28MTP8Exp22021,2,28,2021,22021,8/23/2021,Week4,30,0,Trachelomonas abrupta,9770.216,0,22.448,190,0.09,8.2,1.28,8.33,16.75
9,D0MTP9Exp22021,2,0,2021,22021,7/26/2021,Day0,1,0,Trachelomonas abrupta,4964.335079,0,22.295,180.9,0.08,7.87,5.36,8.42,13.01
9,D7MTP9Exp22021,2,7,2021,22021,8/2/2021,Week1,1,26.1142623,Trachelomonas abrupta,9227.039344,0.283018868,22.72,185.7,0.09,8.17,2.65,8.38,17.37
9,D14MTP9Exp22021,2,14,2021,22021,8/9/2021,Week2,1,0,Trachelomonas abrupta,7552.80176,0,23.119,184.4,0.09,8.52,1.49,8.74,5.9
9,D22MTP9Exp22021,2,22,2021,22021,8/16/2021,Week3,1,0,Trachelomonas abrupta,4028.78127,0,22.605,185.4,0.09,8.61,1.15,8.7,2.95
9,D28MTP9Exp22021,2,28,2021,22021,8/23/2021,Week4,1,0,Trachelomonas abrupta,7893.094594,0,22.685,184.9,0.09,8.22,0.92,8.32,3.32
10,D0MTP10Exp22021,2,0,2021,22021,7/26/2021,Day0,100,107.4878543,Trachelomonas abrupta,4355.407854,2.467917078,22.203,184.1,0.09,7.89,5.39,8.4,15.37
10,D7MTP10Exp22021,2,7,2021,22021,8/2/2021,Week1,100,43.52377049,Trachelomonas abrupta,13178.9977,0.330250991,22.75,193.4,0.09,8.27,4.32,8.45,14.2
10,D14MTP10Exp22021,2,14,2021,22021,8/9/2021,Week2,100,8.886861925,Trachelomonas abrupta,44478.74393,0.01998002,23.09,186.6,0.09,8.42,3.82,8.58,6.02
10,D22MTP10Exp22021,2,22,2021,22021,8/16/2021,Week3,100,0,Trachelomonas abrupta,2514.297618,0,22.665,183.1,0.09,8.4,1.7,8.47,3.45
10,D28MTP10Exp22021,2,28,2021,22021,8/23/2021,Week4,100,4.214206349,Trachelomonas abrupta,6207.525952,0.067888663,22.761,185.4,0.09,8.32,1.42,8.35,4.58
11,D0MTP11Exp22021,2,0,2021,22021,7/26/2021,Day0,30,34.96230453,Trachelomonas abrupta,7604.301234,0.459770115,22.248,181,0.08,7.86,5.6,8.38,12.6
11,D7MTP11Exp22021,2,7,2021,22021,8/2/2021,Week1,30,0,Trachelomonas abrupta,9714.235659,0,22.746,184.6,0.09,8.18,3.62,8.37,32.21
11,D14MTP11Exp22021,2,14,2021,22021,8/9/2021,Week2,30,0,Trachelomonas abrupta,2917.763232,0,23.111,187.1,0.09,8.11,0.95,8.16,2.97
